ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
3ed4fb9f-bacc-4719-b153-d606a26d8ff7,17000000000,3,3,105.0,30,1,1,1,1,1,1,1,1,1,1,1,1,an-giang,apartments,0,fully
c5f11167-e9e0-47c0-9a2f-e48bef2ff599,2145000000,1,1,50.0,10,1,1,1,1,1,0,1,0,1,1,1,1,ba-ria-vung-tau,apartments,0,fully
527d2386-f928-4584-989a-b674afc14695,17000000000,3,3,160.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,apartments,0,fully
44a3202d-37e5-44c0-8489-7fdce98453b0,2000000000,1,1,50.0,35,1,1,1,1,1,1,1,1,1,1,0,1,ba-ria-vung-tau,apartments,0,fully
d5db2d32-a9f9-4df9-9c5d-566f256b95fb,23000000000,1,1,75.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,apartments,0,partly
53bd95ba-baa0-4493-9187-5efa1b87b931,4900000000,1,1,77.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,apartments,0,partly
0cde3eeb-0a70-4e68-a3b0-c9c82020ea5d,2600000000,1,1,59.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,apartments,0,partly
4dc35aed-c709-4eec-a2a8-9a6335b02e07,1300000000,1,1,35.0,35,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
470c807a-781a-44ca-811d-5eefdd8bf577,1300000000,1,1,35.0,35,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
31127f34-c1d3-4ac3-9fc7-3e32de628d99,2600000000,2,2,75.0,35,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
7b037f8e-6422-4e16-8dbd-daa52e75827a,1300000000,1,1,35.0,10,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
b5997649-8f10-4a67-8db1-00c30d8621b3,400000000,2,2,75.0,35,1,0,1,1,1,1,1,1,1,1,0,1,binh-duong,apartments,0,fully
d9935920-cff3-4b9c-bcf8-49844e34f30f,2500000000,2,1,66.0,18,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
55383af4-fd84-4bf4-b7ed-8d4b51cd9f9b,1300000000,1,1,35.0,35,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
e320c876-a8f8-4b42-8809-280d390c5d56,1300000000,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
098ffb0d-2228-4bb6-b992-8fc359e298e3,1300000000,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
8b40bed9-30ce-4aa2-a4f8-7a4e63b862d1,4800000000,0,0,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,apartments,0,fully
