ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
67e5b415-4df9-4d0f-8ad7-0631ba251864,3100000000,2,2,70.0,6,1,1,1,0,0,0,1,0,1,0,0,0,an-giang,condos,0,fully
53d04149-e5ba-4e4f-b761-f28ebb46b1be,3500000000,2,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,an-giang,condos,0,unfurnished
Ixora2 condo,2600000000,1,1,57.0,1,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
fe3e5f2a-22d7-4f7e-9168-03b9f6aae514,2900000000,1,1,35.0,6,1,1,1,1,1,1,1,1,1,1,1,0,ba-ria-vung-tau,condos,0,fully
78d9873b-fcfa-4fe3-be0b-e6a88de0a154,26500000000,2,2,298.4,13,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
6a9d27bb-bd6c-40c2-afde-9c9eb8628d17,3200000000,1,1,35.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
adb7614e-67db-4e5b-920c-b1753bd669cd,2900000000,1,1,37.0,9,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
8780affa-9eed-4643-8124-852480260752,7000000000,2,2,91.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
fc49507d-499f-4f0a-8ba2-9b9b57831c27,2800000000,1,1,55.0,15,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
5935bf46-282f-4558-bdb5-278640434941,2145000000,1,1,50.0,10,1,1,1,1,1,1,0,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
Charm1,2900000000,1,1,35.0,9,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
Charm ,3000000000,1,1,45.0,5,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
463b4175-7d6b-4fb9-b250-6a18a3e98fb8,24000000000,3,3,390.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
03d2b649-59c6-4cd9-bed0-57083987c40e,2600000000,1,1,57.0,9,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
 9287990,2600000000,1,1,46.0,8,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
c444141a-2748-40b5-8441-fafb2ff9623a,2600000000,1,1,46.0,9,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
8237886,2732000000,1,1,38.0,8,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
61afbd8f-60a5-4504-bdfe-bca8408a2022,2700000000,1,1,39.0,10,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
dacc84ff-3636-49d9-b796-a83d25886ced,2900000000,1,1,35.7,9,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
7baf2c3f-1829-43af-b83d-bdbdfbeb0972,28000000000,3,3,350.0,2,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
e452db92-6b80-469e-8219-da36675f591c,2700000000,2,2,65.0,9,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
025eeccd-2a86-4cb3-ab0b-1d64e38ad179,3000000000,1,1,45.0,1,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
67cc30d9-c836-4238-9ed6-b49f9e6090d4,2900000000,1,1,45.93,8,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
A3.6,2500000000,1,1,59.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
5f8950d8-694b-4621-8879-8140c510c728,1800000000,1,1,48.62,29,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
355c243a-64b8-4c84-bf22-38a09111e322,5000000000,3,2,122.0,32,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
f0570ac4-8fb7-4c17-93c0-d17cc5b22efd,1600000000,1,1,53.0,27,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
b1d8ce62-34fe-478f-9561-d6a791524bb1,1700000000,1,1,43.0,23,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
728b2f76-94ca-4863-a0e3-08381438c90e,3200000000,3,2,72.0,25,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
c013921b-24fe-4354-a253-768b4752eb01,2500000000,2,1,53.0,33,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
a3bc42fb-3400-48f0-8a21-f22467940569,2200000000,1,1,50.0,25,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
432425e5-aeba-4bc1-aab0-482b1e4c85c7,3000000000,2,2,71.0,27,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
42d3dc70-75d9-4a60-95c9-5c44938e68e6,3100000000,3,2,71.89,33,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
f7cf2f7a-e560-4be5-aae1-8fdca87b7f1a,2300000000,2,1,50.0,23,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
75fee310-fdba-476a-bf69-da535bf66928,2100000000,2,1,53.08,18,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
ee328335-fbb0-4c23-b9fa-138d65b58e1a,2100000000,2,1,50.0,27,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
5d170194-40f8-45e0-baa3-ff7b9b0de27b,2100000000,1,1,43.0,21,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,fully
8fc274e2-bc80-485d-a823-6e52b934464b,19000000000,3,3,160.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,partly
6dc4aa05-28b1-49fd-99ce-db9aff0a31fc,2700000000,1,1,47.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,partly
6aca25a5-8ccb-40a6-a0b4-5c868cba4b16,6900000000,2,2,97.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,partly
8267ea09-ee03-4b57-b838-0d642a0140f2,3200000000,1,1,44.0,8,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,partly
33039f57-80d8-4a79-955a-7e31f349306b,6200000000,2,2,89.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,partly
819249aa-4a17-4d88-9d8c-0beac355069b,9700000000,3,4,157.3,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,condos,0,unfurnished
b31f9074-3c06-4171-9bda-9b6f06136b3d,2000000000,1,1,60.0,0,1,0,1,1,1,0,1,1,1,1,0,1,ba-ria-vung-tau,condos,0,unfurnished
1f6968a9-3fa9-4235-bd42-375f57e050aa,2300000000,2,2,67.0,15,1,1,1,1,1,1,1,1,1,1,1,1,binh-duong,condos,0,fully
6c0665bd-20b7-4ac6-8a0a-a419f73e25b2,2049999999,2,2,75.0,14,1,1,1,1,1,0,1,1,1,1,1,1,binh-duong,condos,0,fully
