ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
ID000820,4550000000,3,3,108.0,2,1,0,0,0,0,0,0,0,0,0,0,1,an-giang,houses,0,fully
85696c99-16f4-4093-91e7-4d2e77e32942,2900000000,4,4,100.0,3,1,1,1,1,1,1,1,1,1,1,1,1,binh-duong,houses,0,fully
2c54f21f-397f-46d0-8836-77f12deb5dd2,490000000,24,24,450.0,2,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,houses,0,fully
3f6ae624-fc62-417d-bdac-0051b141e4c3,2900000000,4,4,85.0,2,1,1,1,1,1,1,1,1,1,1,1,1,binh-duong,houses,0,fully
44bd47f5-7978-4285-94ba-d3d9a471803a,550000000,2,2,1141.0,2,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,houses,0,fully
6f041fea-d948-45d5-a3e2-7ee7cd29f5ff,350000000,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,houses,0,fully
235bd21e-5bbb-4b7a-8043-e6892634068f,450000000,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,houses,0,fully
04a45588-1902-47ec-8b59-417578e1e2a8,550000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,houses,0,fully
2145478,5200000000,4,4,240.0,3,1,0,0,0,1,0,1,0,0,0,0,0,da-nang,houses,0,fully
46282846,4700000000,2,2,150.0,2,1,0,0,0,1,1,1,0,0,0,0,1,da-nang,houses,0,fully
BÁN KHÁCH SẠN,10300000000,7,7,0,5,1,0,1,0,0,0,0,0,1,0,0,1,da-nang,houses,0,fully
H0613,16000000000,3,4,0,3,1,0,0,0,1,0,0,0,0,0,0,1,da-nang,houses,0,fully
5b1df7eb-1882-4e44-a6fa-cf5ab21f0cac,13500000000,4,4,264.0,4,0,0,0,0,0,0,0,0,0,0,0,0,dong-nai,houses,0,fully
3b7e80ce-16e8-4858-bdcb-7e3fabc1d9c9,4380000000,3,4,130.0,3,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
a1bf8ae6-1484-4d19-99fb-b07dae40389b,5800000000,3,4,0,3,1,1,0,0,1,0,0,0,0,0,0,1,ha-noi,houses,0,fully
0554ce4b-050d-4f34-89d4-0a8becf05871,11400000000,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
33064c64-59bd-4dd6-84e2-8b65dfd75041,6100000000,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
722d9361-2b8e-464f-9ed3-393eee0e2ff5,7200000000,3,4,0,3,1,0,0,0,1,0,1,1,0,0,0,1,ha-noi,houses,0,fully
b32b698f-3c83-4b84-a750-5c4cb2d609cb,135000000,5,5,75.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
f3bdacc6-1e05-46c2-879e-c2a09d68316b,4500000000,6,4,55.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ha-noi,houses,0,fully
