ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
3bd001d9-8465-4671-b5d6-a58a52087c14,80000000000,4,0,900.0,2,1,1,1,1,1,1,1,1,1,1,1,1,an-giang,villas,0,fully
433b85bf-63b0-4947-bc1c-b488d8797856,26000000000,3,3,391.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
Sanctury  Lake,15000000000,4,4,224.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
0326b06e-d8ea-400f-bd4d-59bfb01477e7,40543000000,3,3,444.9,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
7aa3c112-1275-49d4-8795-8506419b705c,37000000000,3,3,302.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
5d092184-dbb1-4030-b827-6f9bc3cd8a43,17200000000,3,3,207.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
eebcb348-2357-44fa-8956-e6e17354da31,24570000000,3,3,444.9,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
4fbda6ec-e18d-4279-a56f-9765dc969dff,24200000000,3,4,450.0,2,1,1,1,1,1,0,1,1,1,1,0,1,ba-ria-vung-tau,villas,0,fully
b7d27c77-a3bd-41f7-993f-5d3c6cad8610,22500000000,2,3,229.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
Beachfront villa at Ho Tram beach,89000000000,4,5,348.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
Seafront Villa at Ho Tram beach,43000000000,3,4,587.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
b360a671-1acf-42c5-903d-c8e7e343713b,20000000000,4,5,500.0,2,1,1,0,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
934bdc3f-676d-4771-83c0-548b8ae98cb5,26400000000,2,2,330.0,2,1,1,1,1,1,1,1,1,1,1,0,1,ba-ria-vung-tau,villas,0,fully
2b063208-b868-4c2d-bad5-f29046a1f524,22700000000,3,4,284.92,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
d5fe9744-aec2-4480-a14b-8eeaba9aa78d,34863000000,3,5,275.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
1d54e363-e353-480c-b59e-d6942671bbf5,23700000000,3,3,391.98,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
9138f5b3-e12b-4d50-8475-94e0f7535222,40000000000,3,3,445.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
hyatthotram001,57000000000,3,3,382.0,2,1,1,1,1,1,1,1,1,1,1,0,1,ba-ria-vung-tau,villas,0,fully
7388d28b-745f-4525-8ff2-164a79a5cb0b,32500000000,3,3,308.0,1,1,1,1,1,1,1,1,1,1,1,0,1,ba-ria-vung-tau,villas,0,fully
b4c59e43-d37e-4585-95d8-59330a65947f,23000000000,3,3,444.0,0,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
9e8dd99f-4494-4252-80f0-7926b583e252,15220000000,4,5,294.4,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
e89bfa89-6ed0-4ef7-a82a-842f5ca04f63,26400000000,3,3,248.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
AQUAMARINE A021A,25500000000,3,3,302.5,2,1,1,1,0,1,0,1,1,1,1,0,1,ba-ria-vung-tau,villas,0,fully
TROPICANA T062B,23700000000,3,3,361.98,2,1,1,1,1,1,0,1,0,1,1,0,1,ba-ria-vung-tau,villas,0,fully
1d01b207-e146-4859-955a-b96cfdc1eeda,2800000000,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
005bfbca-1fa0-41fe-a788-c9582a80e4c0,38000000000,3,3,0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
5e7fb4cc-842e-4225-bb10-abc97915f23d,35000000000,4,4,660.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
2063cc96-0c2b-4998-b0f2-260a4157388a,18000000000,4,4,400.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
696f6f89-a562-43bb-8a78-c5df18f15a66,20000000000,3,3,400.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
2c2ced00-496c-4c0a-9397-31f179f6474f,18000000000,3,3,300.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
1c71117a-efa0-40bd-9a50-d9b9fa63fdd9,19000000000,3,3,368.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
a1df72a0-8af1-4a7c-b2bb-a0c2cacbd99d,22000000000,3,3,368.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
7460c5aa-8fd2-4840-980c-229a04fba0d4,19600000000,2,3,206.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
9dbcb694-214a-4ab1-b223-5d1a1d0e8147,16200000000,2,3,206.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
92f2a592-99b5-4068-9f5a-906c408c94c8,29700000000,3,5,275.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
fa35260f-de76-4128-a18d-76155a6a732e,23700000000,3,3,391.98,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
3BR villa for sales at Ho Tram beach,21250000000,3,3,634.1,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
5-star Villa for sales in Ho Tram beach,21250000000,3,3,634.1,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
10 năm hoàn vốn với biệt thự biển Hồ Tràm - Vũng T,23696000000,3,3,391.9,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
T06-2B,23696000000,3,3,391.9,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
efc8ad9a-19b7-43bc-9a65-13a66f684f8c,37000000000,3,3,257.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
251a6972-918e-4730-9616-800e4a67942b,37000000000,3,3,275.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
99e5a9f0-ac2e-4b13-b831-b83f83af37ab,24000000000,3,3,266.6,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
0ef7e050-c799-40ee-b2a8-e9cc57b17674,35500000000,3,3,302.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
ixora,24600000000,4,4,401.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
Hyatt,48000000000,3,3,307.0,2,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,villas,0,fully
